                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3647,                 4.4356,                 1.2939,                0.07937,                0.22772,                0.04387,                 0.0191,                 1.7309,                 18.142,                 1.1581,                0.00024,                0.00024,                0.00024
                      2,                 1.2187,                 1.4861,                 1.0304,                0.52928,                0.40594,                0.34718,                0.18122,                 1.4146,                 3.1416,                 1.0237,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.2213,                 1.1645,                 1.0574,                0.40218,                0.52475,                0.35858,                0.15145,                 1.6473,                 1.8219,                 1.1443,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.3261,                 1.0952,                 1.1066,                0.70631,                0.25743,                0.30283,                 0.1488,                 1.7265,                 1.7687,                 1.2636,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.2617,                 1.0209,                 1.1099,                0.46846,                0.41584,                0.34807,                0.16302,                 1.6116,                 1.9775,                 1.1476,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.2851,                 0.9709,                 1.0755,                0.49707,                0.20792,                 0.2339,                0.16214,                 1.4283,                 3.4638,                 1.2061,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.3049,                0.98575,                   1.15,                 0.0866,                0.49505,                0.05294,                0.02458,                 1.5182,                 15.907,                 1.1604,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.1902,                0.93722,                 1.1328,                0.17219,                0.16832,                0.09522,                0.05228,                 1.5728,                 9.1182,                 1.1972,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2933,                0.89989,                 1.0813,                0.32043,                0.19802,                0.17592,                0.08679,                 1.5327,                 5.6455,                 1.4387,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2715,                0.90553,                 1.0889,                0.54928,                0.44554,                0.44439,                0.21133,                 1.5445,                 3.1127,                 1.2223,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1906,                 0.8235,                 1.1056,                0.77795,                0.56436,                0.59472,                0.27148,                 1.4542,                 1.4797,                 1.1062,               0.001604,               0.001604,               0.001604
                     12,                  1.145,                0.77281,                 1.0546,                0.75012,                0.49505,                0.57113,                0.26793,                 1.4918,                 1.7357,                 1.0768,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1522,                0.81521,                 1.0856,                0.71621,                0.43564,                0.54382,                0.28773,                  1.457,                 1.1546,                 1.1258,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1982,                 0.7566,                 1.0277,                 0.7632,                0.49505,                0.54524,                0.28787,                 1.4232,                 1.1466,                  1.065,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1446,                0.72687,                 1.0414,                 0.7617,                0.57426,                0.64806,                0.36114,                 1.2408,                 1.4221,                 1.0019,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1396,                0.70866,                 1.0344,                0.73622,                0.51485,                0.60452,                 0.2736,                 1.4779,                 1.3412,                 1.0184,               0.001406,               0.001406,               0.001406
                     17,                 1.1547,                0.77926,                 1.0752,                0.51447,                0.57426,                0.52203,                0.29491,                 1.3867,                 1.3144,                 1.0386,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.113,                0.76646,                 1.0447,                0.78535,                0.60396,                0.66578,                0.33381,                 1.3574,                0.84518,                 1.0078,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1202,                0.74119,                 1.0389,                0.86285,                0.67327,                0.79665,                 0.4234,                  1.223,                0.72502,                0.98443,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0374,                0.67711,                 1.0349,                0.82074,                0.63466,                0.73145,                0.38124,                 1.2206,                0.70658,                0.98895,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0484,                0.66817,                 1.0185,                0.77691,                0.54455,                0.63971,                0.36331,                  1.234,                0.72389,                0.97586,               0.001208,               0.001208,               0.001208
                     22,                 1.0524,                0.65442,                0.98789,                0.83979,                0.46712,                0.56515,                0.31386,                 1.3489,                0.75609,                 1.0263,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0132,                0.61794,                 1.0307,                0.82314,                0.69126,                0.75885,                 0.4132,                 1.2271,                0.69133,                 1.0187,              0.0011288,              0.0011288,              0.0011288
                     24,                0.96633,                0.60375,                 1.0037,                0.83067,                0.74257,                0.80957,                0.44455,                 1.2337,                0.61634,                0.99602,              0.0010892,              0.0010892,              0.0010892
                     25,                0.97695,                0.63225,                0.98844,                0.79093,                0.69307,                0.75266,                0.41279,                 1.2575,                0.61281,                0.99674,              0.0010496,              0.0010496,              0.0010496
                     26,                0.95121,                0.58878,                0.99585,                 0.8517,                0.68238,                0.76902,                0.44239,                 1.2726,                0.63486,                0.97449,                0.00101,                0.00101,                0.00101
                     27,                0.97573,                 0.5788,                 0.9776,                0.88166,                0.70297,                0.80796,                0.44014,                 1.2598,                 0.6257,                0.97887,              0.0009704,              0.0009704,              0.0009704
                     28,                0.95119,                0.61203,                0.97549,                 0.8385,                0.70297,                0.79384,                0.43736,                 1.2418,                0.63187,                0.98786,              0.0009308,              0.0009308,              0.0009308
                     29,                0.91558,                0.55616,                0.95562,                0.84449,                0.67327,                0.80043,                0.45308,                 1.2184,                0.66993,                 0.9801,              0.0008912,              0.0008912,              0.0008912
                     30,                0.89576,                0.55816,                0.95633,                0.87319,                0.74996,                0.83085,                0.50156,                  1.127,                0.59457,                0.95357,              0.0008516,              0.0008516,              0.0008516
                     31,                0.94054,                 0.5754,                0.96578,                0.88936,                0.70297,                0.80983,                0.46967,                 1.1423,                 0.5716,                0.96022,               0.000812,               0.000812,               0.000812
                     32,                0.87338,                0.54667,                0.99326,                0.90055,                0.71725,                0.83087,                0.47649,                 1.1049,                0.60016,                 0.9355,              0.0007724,              0.0007724,              0.0007724
                     33,                0.89143,                0.55232,                0.95942,                0.84109,                0.71287,                0.79795,                0.42749,                 1.2176,                0.63676,                0.95355,              0.0007328,              0.0007328,              0.0007328
                     34,                0.86945,                0.53418,                0.95681,                0.81537,                0.69964,                0.77397,                0.42648,                 1.2336,                0.67182,                0.95684,              0.0006932,              0.0006932,              0.0006932
                     35,                0.84848,                 0.5279,                0.94437,                0.84043,                 0.7301,                0.83175,                 0.5024,                 1.1562,                0.57865,                0.92754,              0.0006536,              0.0006536,              0.0006536
                     36,                0.83448,                0.51105,                 0.9208,                0.92793,                 0.7649,                0.89045,                0.49504,                 1.1105,                0.51602,                0.90966,               0.000614,               0.000614,               0.000614
                     37,                0.83192,                0.51532,                0.95794,                0.86835,                0.72277,                0.83849,                0.48808,                  1.115,                0.55322,                0.91216,              0.0005744,              0.0005744,              0.0005744
                     38,                0.76516,                0.47309,                0.91808,                0.84289,                0.74364,                0.83357,                0.48368,                 1.1582,                0.57869,                 0.9326,              0.0005348,              0.0005348,              0.0005348
                     39,                0.74978,                0.48255,                0.92417,                0.84278,                0.74306,                0.84056,                0.49402,                 1.0737,                0.57479,                 0.9152,              0.0004952,              0.0004952,              0.0004952
                     40,                0.79626,                0.49202,                0.95909,                0.87165,                0.73267,                0.83463,                0.48544,                  1.079,                0.55149,                0.92277,              0.0004556,              0.0004556,              0.0004556
                     41,                0.75589,                 0.4741,                0.90015,                0.86365,                0.75257,                 0.8485,                0.50396,                 1.1221,                0.54739,                0.93844,               0.000416,               0.000416,               0.000416
                     42,                0.72527,                0.44897,                0.89945,                0.93096,                0.73267,                0.84786,                0.51437,                 1.0837,                0.55133,                0.93807,              0.0003764,              0.0003764,              0.0003764
                     43,                0.72052,                0.43552,                0.88684,                0.91643,                0.77228,                0.85839,                0.51131,                 1.0672,                0.55952,                 0.9293,              0.0003368,              0.0003368,              0.0003368
                     44,                0.69351,                0.42179,                0.88211,                 0.8922,                0.73267,                0.84367,                0.50126,                 1.0887,                0.55324,                0.96111,              0.0002972,              0.0002972,              0.0002972
                     45,                0.68796,                0.41347,                0.87232,                0.85893,                0.72277,                0.83668,                0.50763,                 1.0756,                0.53187,                0.95091,              0.0002576,              0.0002576,              0.0002576
                     46,                0.67261,                0.39901,                0.86356,                 0.9301,                0.67327,                0.84257,                0.50516,                  1.091,                0.51519,                0.95359,               0.000218,               0.000218,               0.000218
                     47,                0.63716,                0.38388,                0.86703,                0.91141,                0.71303,                0.85601,                0.52089,                 1.0752,                0.49875,                0.94973,              0.0001784,              0.0001784,              0.0001784
                     48,                0.66206,                0.40435,                0.88192,                0.93855,                 0.7561,                0.86779,                0.52223,                 1.0662,                0.48814,                0.93801,              0.0001388,              0.0001388,              0.0001388
                     49,                0.67134,                0.40579,                0.87646,                0.97294,                 0.7121,                0.85808,                0.52529,                 1.0526,                0.48768,                0.93235,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.6501,                0.38319,                0.86134,                 0.9116,                0.71469,                0.85307,                0.52482,                 1.0507,                0.48922,                 0.9308,               5.96e-05,               5.96e-05,               5.96e-05
